offender_id,degree,betweenness,eigenvector,total_cases,community_id
9a4c5f3ca837,7.021609e-05,7.021609e-05,7.021609e-05,5,1019
64ef4d97c14a,6.436475e-05,6.436475e-05,6.436475e-05,6,4510
40fa5b16c604,6.436475e-05,6.436475e-05,6.436475e-05,4,27609
04993a291e7f,6.436475e-05,6.436475e-05,6.436475e-05,7,24946
1b739910c03d,6.436475e-05,6.436475e-05,6.436475e-05,5,24946
1271de4eb23b,6.436475e-05,6.436475e-05,6.436475e-05,7,1019
c3a726bf85a6,6.143908e-05,6.143908e-05,6.143908e-05,6,26842
645e588ea3ae,6.143908e-05,6.143908e-05,6.143908e-05,7,6038
394ec0c5220d,6.143908e-05,6.143908e-05,6.143908e-05,3,25467
b4f5cf08d722,6.143908e-05,6.143908e-05,6.143908e-05,4,27214
11112f047a03,6.143908e-05,6.143908e-05,6.143908e-05,4,6038
99e6a6b45f7e,5.8513408e-05,5.8513408e-05,5.8513408e-05,4,6492
cd780e2bc4bf,5.8513408e-05,5.8513408e-05,5.8513408e-05,10,22631
c69b165442e5,5.8513408e-05,5.8513408e-05,5.8513408e-05,3,8728
195badc20fe8,5.8513408e-05,5.8513408e-05,5.8513408e-05,5,31439
cbdbda38f21f,5.8513408e-05,5.8513408e-05,5.8513408e-05,8,9053
b2f4508497db,5.8513408e-05,5.8513408e-05,5.8513408e-05,4,265
5a87b84c5b48,5.8513408e-05,5.8513408e-05,5.8513408e-05,5,13617
6399932c9c1d,5.5587738e-05,5.5587738e-05,5.5587738e-05,6,18356
2f33cbb11e27,5.5587738e-05,5.5587738e-05,5.5587738e-05,3,8696
d0f207f5d4b7,5.5587738e-05,5.5587738e-05,5.5587738e-05,7,8664
55ee8cde80cb,5.5587738e-05,5.5587738e-05,5.5587738e-05,4,7964
3b1278ab02ed,5.5587738e-05,5.5587738e-05,5.5587738e-05,4,14646
7c9594636a18,5.5587738e-05,5.5587738e-05,5.5587738e-05,7,3448
a3c211090de8,5.5587738e-05,5.5587738e-05,5.5587738e-05,5,17053
4b7d4708ba3f,5.5587738e-05,5.5587738e-05,5.5587738e-05,6,13272
50f75c3f2174,5.5587738e-05,5.5587738e-05,5.5587738e-05,3,13272
cc742d9b0f78,5.5587738e-05,5.5587738e-05,5.5587738e-05,6,20900
240ce5db5ee9,5.5587738e-05,5.5587738e-05,5.5587738e-05,4,7146
86dbf336d632,5.2662068e-05,5.2662068e-05,5.2662068e-05,3,6492
26960f5b6104,5.2662068e-05,5.2662068e-05,5.2662068e-05,6,265
b0c9a4fffdcd,5.2662068e-05,5.2662068e-05,5.2662068e-05,5,3448
83bddd2d471f,5.2662068e-05,5.2662068e-05,5.2662068e-05,4,23952
de5c3943444d,5.2662068e-05,5.2662068e-05,5.2662068e-05,3,2955
ff7eabc27382,5.2662068e-05,5.2662068e-05,5.2662068e-05,3,6492
5e28e64958ef,5.2662068e-05,5.2662068e-05,5.2662068e-05,5,27609
f712de5bf2dd,5.2662068e-05,5.2662068e-05,5.2662068e-05,5,3395
3953120fb5de,5.2662068e-05,5.2662068e-05,5.2662068e-05,4,993
